活动区域,子区域,日期,时段,客流量,age（0-25）,age（26-44）,age（45-60+）,首次到访占比,男性客流量,女性客流量,驻留时长1,驻留时长2,驻留时长3,驻留时长4,是否活动时间
 无锡映月湖     ,九里仓,20240424,1,282,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240424,0,522,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240424,2,208,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240424,3,262,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240424,4,90,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240424,5,362,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240425,0,518,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240425,1,257,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240425,2,193,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240425,3,242,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240425,4,103,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240426,0,472,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240426,1,197,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240426,2,177,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240426,3,194,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240426,4,173,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240426,5,312,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240427,0,540,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240427,1,323,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240427,2,183,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240427,3,283,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240427,4,184,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240427,5,280,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240427,6,635,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240428,0,502,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240428,1,274,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240428,2,174,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240428,3,283,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240428,4,133,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240428,5,282,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,0,491,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,1,267,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,2,238,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,3,219,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,4,174,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,5,334,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,6,902,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,7,3096,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,8,2317,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,9,1761,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,10,1627,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,11,2056,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,12,2000,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,13,1918,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,14,1772,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,15,2093,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,16,2644,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,17,3880,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,18,3231,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,19,3112,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,20,3136,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,21,1970,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,22,1099,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240429,23,669,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,0,514,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,1,275,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,2,196,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,3,200,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,4,170,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,5,354,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,6,1030,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,7,3179,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,8,2301,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,9,1864,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,10,1655,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,11,1902,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,12,1926,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,13,1921,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,14,1792,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,15,2307,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,16,3010,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,17,4219,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,0,163,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,1,102,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,2,40,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,3,11,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,4,10,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,5,108,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,6,261,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,7,687,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,8,766,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,9,639,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,10,591,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,11,656,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,12,785,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,13,781,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,14,615,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,15,659,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,16,822,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,17,1021,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,18,1215,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,19,1211,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,20,1101,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,21,680,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,22,355,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240424,23,181,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,0,194,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,1,110,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,2,61,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,3,9,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,4,15,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,5,121,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,6,280,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,7,639,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,8,621,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,9,550,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,10,463,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,11,628,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,12,716,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,13,642,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,14,631,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,15,721,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,16,736,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,17,1114,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,18,1233,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,19,1107,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,20,966,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,21,597,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,22,324,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240425,23,198,,,,,,,,,,,0
 无锡映月湖     ,映月天地,20240426,0,175,,,,,,,,,,,0
